id,year,class_1to5_boys,class_1to5_girls,class_1to8_boys,class_1to8_girls,class_1to10_boys,class_1to10_girls
1,1960,61,70.9,75,85,77,86
2,1970,71,70.9,74.6,83.4,78.2,87.4
3,1980,81,62.5,68,79.4,79.8,86.6
4,1990,91,46,59.1,65.1,67.5,76.9
5,1992,93,46.7,58.2,65.2,70,77.3
6,1995,96,43,56.6,61.7,66.7,73.7
7,1996,97,40.9,54.3,59.5,67.3,73.7
8,1997,98,41.5,53.8,59.3,66.6,73
9,1998,99,42.3,54.2,59.2,64.5,69.8
10,1999,0,41,53.3,57.7,64.9,69.9
11,2000,1,41.9,50.3,57.7,66.4,71.5
12,2001,2,39.9,52.9,56.9,64.2,68.6
13,2002,3,33.7,52.3,53.5,60.7,65
14,2003,4,28.6,51.9,52.9,61,64.9
15,2004,5,25.4,50.5,51.3,60.4,63.9
16,2005,6,21.8,48.7,49,60.1,63.6
17,2006,7,26.8,46.4,45.2,58.6,61.5
18,2007,8,24.4,43.7,41.3,56.6,57.3
19,2008,9,25.8,41.1,36.9,54,54.4
20,2009,10,28.5,41.1,44.2,53.3,51.8
21,2010,11,25.4,40.6,41.2,50.2,47.7
