Sl. No.,STATE/U.T.,Enrolment in Class IX - Boys,Enrolment in Class IX - Girls,Enrolment in Class IX - Total,Enrolment in Class X - Boys,Enrolment in Class X - Girls,Enrolment in Class X - Total,Enrolment in Class IX & X - Boys,Enrolment in Class IX & X - Girls,Enrolment in Class IX & X - Total,Enrolment in Class Total (I to X) - Boys,Enrolment in Class Total (I to X) - Girls,Enrolment in Class Total (I to X) - Total
1,Andaman  Nicobar Islands,1570,1493,3063,1210,1194,2404,2780,2687,5467,14006,13113,27119
2,Andhra Pradesh,193654,191450,385104,185915,183755,369670,379569,375205,754774,2186268,2069607,4255875
3,Arunachal Pradesh,5223,4806,10029,4704,3988,8692,9927,8794,18721,53555,49993,103548
4,Assam,30761,33880,64641,23085,24245,47330,53846,58125,111971,303704,310620,614324
5,Bihar,129048,102781,231829,111364,82020,193384,240412,184801,425213,856923,810960,1667883
6,Chandigarh,7819,6338,14157,6941,5472,12413,14760,11810,26570,88987,71910,160897
7,Chhattisgarh,61165,58828,119993,53611,53236,106847,114776,112064,226840,567039,537347,1104386
8,Dadra  Nagar Haveli,879,639,1518,726,531,1257,1605,1170,2775,10674,8348,19022
9,Daman  Diu,735,586,1321,583,525,1108,1318,1111,2429,8897,7196,16093
10,Delhi,149040,124001,273041,115674,98833,214507,264714,222834,487548,1644690,1399778,3044468
11,Goa,6321,5685,12006,5154,5024,10178,11475,10709,22184,73874,66376,140250
12,Gujarat,193377,134923,328300,166234,119185,285419,359611,254108,613719,1771664,1373023,3144687
13,Haryana,66224,52087,118311,61767,47402,109169,127991,99489,227480,682384,539752,1222136
14,Himachal Pradesh,9849,8539,18388,9899,8442,18341,19748,16981,36729,90047,72106,162153
15,Jammu  Kashmir,22663,20581,43244,19016,16596,35612,41679,37177,78856,215526,187687,403213
16,Jharkhand,47180,43591,90771,40731,37308,78039,87911,80899,168810,436754,424154,860908
17,Karnataka,194582,188805,383387,170390,168781,339171,364972,357586,722558,2006164,1902682,3908846
18,Kerala,80094,81040,161134,72075,76096,148171,152169,157136,309305,714102,712414,1426516
19,Lakshadweep,381,282,663,303,250,553,684,532,1216,2918,2637,5555
20,Madhya Pradesh,227710,185001,412711,207528,149285,356813,435238,334286,769524,2167563,1851902,4019465
21,Maharashtra,398536,347950,746486,336011,301802,637813,734547,649752,1384299,4499632,3915065,8414697
22,Manipur,5789,5796,11585,5139,5205,10344,10928,11001,21929,71810,71649,143459
23,Meghalaya,5870,6677,12547,4786,5446,10232,10656,12123,22779,68955,74005,142960
24,Mizoram,5072,5184,10256,5277,5277,10554,10349,10461,20810,59729,57791,117520
25,Nagaland,6284,6034,12318,4800,4781,9581,11084,10815,21899,64760,60664,125424
26,Orissa,45240,43116,88356,37374,36383,73757,82614,79499,162113,488432,456155,944587
27,Puducherry,7158,7196,14354,5978,6247,12225,13136,13443,26579,71873,69664,141537
28,Punjab,80497,68175,148672,77090,68328,145418,157587,136503,294090,851872,688023,1539895
29,Rajasthan,145017,94966,239983,160211,93242,253453,305228,188208,493436,1544262,1161195,2705457
30,Sikkim,346,367,713,318,321,639,664,688,1352,4576,4508,9084
31,Tamil Nadu,330505,327915,658420,277400,290871,568271,607905,618786,1226691,2928391,2808523,5736914
32,Tripura,7323,7773,15096,5718,5922,11640,13041,13695,26736,61536,60861,122397
33,Uttar Pradesh,420750,315188,735938,395672,314225,709897,816422,629413,1445835,4440147,3700457,8140604
34,Uttarakhand,29382,25023,54405,28289,24868,53157,57671,49891,107562,289665,247034,536699
35,West Bengal,165882,167166,333048,138689,137340,276029,304571,304506,609077,1649565,1641466,3291031
INDIA,INDIA,3081926,2673862,5755788,2739662,2382426,5122088,5821588,5056288,10877876,30990944,27428665,58419609
